Originalname,Chromosome_B73RefGen_v2position(bp)
PZE-104135216,4_219954267
PZE-104135262,4_219995130
PZE-104135287,4_220005314
PZE-104135290,4_220005521
PZE-104135313,4_220091190
PZE-104135315,4_220090477
PZE-104135358,4_220271516
PZE-104135387,4_220338198
PZE-104135424,4_220482138
PZE-104135434,4_220509573
PZE-104135448,4_220613212
PZE-104135468,4_220655484
PZE-104135485,4_220766781
PZE-104135505,4_220807111
PZE-104135516,4_220869514
PZE-104135556,4_220900033
PZE-104135561,4_220906860
PZE-104135572,4_220918275
PZE-104135582,4_220938988
PZE-104135586,4_220939732
PZE-104135614,4_220946746
PZE-104135681,4_221049718
PZE-104135682,4_221049775
PZE-104135689,4_221070358
PZE-104135702,4_221070969
PZE-104135704,4_221074689
PZE-104135709,4_221085702
PZE-104135720,4_221096525
PZE-104135733,4_221151549
PZE-104135738,4_221139165
PZE-104135763,4_221187413
PZE-104135778,4_221219469
PZE-104135811,4_221299651
PZE-104135812,4_221300914
PZE-104135875,4_221465504
PZE-104135876,4_221465424
PZE-104135884,4_221451806
PZE-104135927,4_221512826
PZE-104135939,4_221523463
PZE-104135978,4_221603841
PZE-104136039,4_221632625
PZE-104136071,4_221735701
PZE-104136077,4_221714957
PZE-104136155,4_221761890
PZE-104136171,4_221764136
PZE-104136183,4_221843676
PZE-104136189,4_221843419
PZE-104136222,4_221901458
PZE-104136224,4_221899775
PZE-104136225,4_221899737
PZE-104136244,4_221892565
PZE-104136278,4_221987055
PZE-104136285,4_221987268
PZE-104136292,4_222012958
PZE-104136303,4_222013582
PZE-104136326,4_222026379
PZE-104136329,4_222074857
PZE-104136338,4_222108962
PZE-104136416,4_222366576
PZE-104136436,4_222475333
PZE-104136441,4_222486150
PZE-104136445,4_222520083
PZE-104136503,4_222688330
PZE-104136505,4_222688219
PZE-104136506,4_222687903
PZE-104136534,4_222715948
PZE-104136548,4_222712371
PZE-104136549,4_222742519
PZE-104136550,4_222742761
PZE-104136599,4_222809247
PZE-104136614,4_222832803
PZE-104136618,4_222831562
PZE-104136621,4_222831310
PZE-104136622,4_222831174
PZE-104136652,4_222826448
PZE-104136708,4_222900008
PZE-104136748,4_222954253
PZE-104136779,4_222958448
PZE-104136780,4_222958478
PZE-104136787,4_222960416
PZE-104136895,4_223139342
PZE-104136922,4_223211848
PZE-104136929,4_223217294
PZE-104136964,4_223416409
PZE-104136965,4_223416520
PZE-104136967,4_223437866
PZE-104136996,4_223457938
PZE-104137002,4_223465406
PZE-104137003,4_223465474
PZE-104137026,4_223513531
PZE-104137027,4_223513731
PZE-104137030,4_223514720
PZE-104137088,4_223599068
PZE-104137089,4_223598789
PZE-104137097,4_223615497
PZE-104137116,4_223667408
PZE-104137190,4_223771158
PZE-104137221,4_223826248
PZE-104137248,4_223873631
PZE-104137332,4_224038222
PZE-104137353,4_224048401
PZE-104137492,4_224236526
PZE-104137493,4_224236558
PZE-104137501,4_224237272
PZE-104137567,4_224307799
PZE-104137686,4_224625164
PZE-104137721,4_224725208
PZE-104137781,4_224729396
PZE-104137802,4_224853209
PZE-104137814,4_224879721
PZE-104137858,4_224884125
PZE-104137873,4_224910595
PZE-104137883,4_224911083
PZE-104137890,4_224911205
PZE-104137924,4_224912364
PZE-104137946,4_224953017
PZE-104137949,4_224953779
PZE-104137992,4_224969619
PZE-104138027,4_225010211
PZE-104138060,4_225070551
PZE-104138066,4_225074226
PZE-104138099,4_225269023
PZE-104138154,4_225424907
PZE-104138209,4_225518724
PZE-104138269,4_225570280
PZE-104138272,4_225571813
PZE-104138287,4_225583663
PZE-104138288,4_225583760
PZE-104138330,4_225686453
PZE-104138472,4_225854988
PZE-104138483,4_225868655
PZE-104138654,4_225992853
PZE-104138778,4_226068446
PZE-104138833,4_226195470
PZE-104138874,4_226285643
PZE-104138961,4_226306068
PZE-104139162,4_226541730
PZE-104139197,4_226617833
PZE-104139231,4_226619845
PZE-104139237,4_226620051
PZE-104139238,4_226620086
PZE-104139257,4_226621208
PZE-104139266,4_226676085
PZE-104139290,4_226718863
PZE-104139291,4_226718892
PZE-104139294,4_226718962
PZE-104139295,4_226718992
PZE-104139296,4_226719027
PZE-104139307,4_226790863
PZE-104139335,4_226795104
PZE-104139337,4_226805290
PZE-104139384,4_226945855
PZE-104139396,4_226942005
PZE-104139480,4_227101967
PZE-104139486,4_227110064
PZE-104139498,4_227110871
PZE-104139538,4_227208654
PZE-104139542,4_227208891
PZE-104139549,4_227209344
PZE-104139552,4_227209639
PZE-104139559,4_227209956
PZE-104139562,4_227211517
PZE-104139563,4_227211552
PZE-104139569,4_227214814
PZE-104139603,4_227275648
PZE-104139604,4_227275696
PZE-104139606,4_227279264
PZE-104139626,4_227459808
PZE-104139629,4_227460947
PZE-104139652,4_227554408
PZE-104139654,4_227554638
PZE-104139705,4_227621930
PZE-104139738,4_227660682
PZE-104139768,4_227699787
PZE-104139769,4_227699817
PZE-104139796,4_227717716
PZE-104139828,4_227735318
PZE-104139829,4_227735472
PZE-104139839,4_227756315
PZE-104139840,4_227756694
PZE-104139854,4_227843137
PZE-104139873,4_227889984
PZE-104139877,4_227889791
PZE-104139891,4_227888955
PZE-104139895,4_227888749
PZE-104139996,4_228012556
PZE-104140005,4_228013862
PZE-104140021,4_228033802
PZE-104140069,4_228160333
PZE-104140100,4_228262776
PZE-104140119,4_228346810
PZE-104140188,4_228554291
PZE-104140260,4_228620045
PZE-104140347,4_228627417
PZE-104140352,4_228632475
PZE-104140353,4_228632512
PZE-104140525,4_228812179
PZE-104140802,4_229171827
PZE-104140817,4_229178138
PZE-104140826,4_229181144
PZE-104140854,4_229256149
PZE-104141018,4_229344081
PZE-104141070,4_229351705
PZE-104141072,4_229375626
PZE-104141097,4_229405164
PZE-104141106,4_229405483
PZE-104141190,4_229537275
PZE-104141278,4_229731366
PZE-104141306,4_229738659
PZE-104141312,4_229739044
PZE-104141424,4_229819437
PZE-104141584,4_229973865
PZE-104141590,4_229975113
PZE-104141618,4_230190608
PZE-104141673,4_230183391
PZE-104141683,4_230216920
PZE-104141757,4_230349213
PZE-104141847,4_230366147
PZE-104141864,4_230397245
PZE-104141865,4_230397483
PZE-104141943,4_230483943
PZE-104142010,4_230537208
PZE-104142069,4_230564480
PZE-104142109,4_230588533
PZE-104142446,4_231035991
PZE-104142779,4_231411820
PZE-104142831,4_231409251
PZE-104142834,4_231409011
PZE-104142839,4_231406853
PZE-104142840,4_231406733
PZE-104142854,4_231403290
PZE-104142878,4_231421620
PZE-104142879,4_231421524
PZE-104142983,4_231508537
PZE-104143114,4_231621392
PZE-104143118,4_231622297
PZE-104143133,4_231731120
PZE-104143137,4_231732071
PZE-104143141,4_231736329
PZE-104143161,4_231738027
PZE-104143180,4_231762656
PZE-104143197,4_231811638
PZE-104143198,4_231811740
PZE-104143345,4_231962125
PZE-104143405,4_232001508
PZE-104143420,4_232025507
PZE-104143542,4_232139827
PZE-104143690,4_232586879
PZE-104143728,4_232606014
PZE-104143762,4_232715758
PZE-104143779,4_232784358
PZE-104144387,4_233204685
PZE-104144389,4_233207534
PZE-104144404,4_233208268
PZE-104144507,4_233223800
PZE-104144596,4_233254349
PZE-104144599,4_233257392
PZE-104144643,4_233340046
PZE-104144717,4_233539118
PZE-104144719,4_233541810
PZE-104144729,4_233543074
PZE-104144835,4_233636496
PZE-104144896,4_233762327
PZE-104144965,4_233797912
PZE-104145006,4_233811032
PZE-104145023,4_233822014
PZE-104145027,4_233823667
PZE-104145076,4_233855853
PZE-104145113,4_233871901
PZE-104145166,4_233994679
PZE-104145207,4_233992073
PZE-104145211,4_233990151
PZE-104145212,4_233990079
PZE-104145220,4_234052391
PZE-104145515,4_234117546
PZE-104145524,4_234117739
PZE-104145709,4_234342832
PZE-104145773,4_234356943
PZE-104145886,4_234400623
PZE-104146000,4_234405695
PZE-104146078,4_234424114
PZE-104146082,4_234427137
PZE-104146173,4_234500747
PZE-104146305,4_234571270
PZE-104146497,4_234727517
PZE-104146572,4_234687353
PZE-104146692,4_234650911
PZE-104146750,4_234791216
PZE-104146770,4_234819022
PZE-104146792,4_234820975
PZE-104146795,4_234822617
PZE-104146806,4_234825352
PZE-104146940,4_234835450
PZE-104146964,4_234872693
PZE-104146988,4_234874391
PZE-104146999,4_234874615
PZE-104147058,4_234912508
PZE-104147121,4_234953273
PZE-104147135,4_235009402
PZE-104147186,4_235081646
PZE-104147192,4_235086024
PZE-104147527,4_235202974
PZE-104147636,4_235230043
PZE-104147741,4_235298881
PZE-104147782,4_235293226
PZE-104147912,4_235324916
PZE-104148010,4_235337214
PZE-104148101,4_235382782
PZE-104148404,4_235601081
PZE-104148574,4_235704291
PZE-104148659,4_235721814
PZE-104148727,4_235724825
PZE-104148799,4_235736173
PZE-104148839,4_235746692
PZE-104148854,4_235761665
PZE-104148860,4_235761977
PZE-104148888,4_235825317
PZE-104148949,4_236024226
PZE-104148975,4_236082285
PZE-104148979,4_236083001
PZE-104148982,4_236083228
PZE-104149007,4_236088093
PZE-104149183,4_236206351
PZE-104149438,4_236378649
PZE-104149475,4_236384480
PZE-104149548,4_236393943
PZE-104149728,4_236407572
PZE-104149854,4_236473210
PZE-104149997,4_236551569
PZE-104150001,4_236558312
PZE-104150035,4_236567730
PZE-104150197,4_236673057
PZE-104150213,4_236694449
PZE-104150232,4_236727088
PZE-104150301,4_236756172
PZE-104150374,4_236858667
PZE-104150420,4_236879837
PZE-104150421,4_236879938
PZE-104150448,4_236884388
PZE-104150458,4_236884660
PZE-104150725,4_236925967
PZE-104150856,4_236951169
PZE-104150993,4_236965899
PZE-104151001,4_236968716
PZE-104151042,4_237034276
PZE-104151091,4_237136783
PZE-104151167,4_237142280
PZE-104151391,4_237259623
PZE-104151434,4_237269312
PZE-104151681,4_237322808
PZE-104151821,4_237399297
PZE-104151857,4_237441336
PZE-104151980,4_237454196
PZE-104152153,4_237498281
PZE-104152215,4_237503447
PZE-104152306,4_237508697
PZE-104152363,4_237518616
PZE-104152506,4_237610924
PZE-104152590,4_237692857
PZE-104152609,4_237702198
PZE-104152618,4_237704180
PZE-104152652,4_237711840
PZE-104152710,4_237773862
PZE-104152982,4_237899553
PZE-104152999,4_237909331
PZE-104153023,4_237954303
PZE-104153025,4_237954153
PZE-104153083,4_237951359
PZE-104153144,4_238007847
PZE-104153313,4_238059931
PZE-104153456,4_238217811
PZE-104153704,4_238278327
PZE-104153707,4_238279154
PZE-104153730,4_238296513
PZE-104153766,4_238298845
PZE-104153769,4_238298929
PZE-104153828,4_238326005
PZE-104153848,4_238329284
PZE-104153963,4_238360017
PZE-104154015,4_238374755
PZE-104154034,4_238379791
PZE-104154329,4_238559930
PZE-104154409,4_238740712
PZE-104154469,4_238758660
PZE-104154549,4_238764383
PZE-104154610,4_238932203
PZE-104154700,4_238963086
PZE-104154731,4_238987577
PZE-104154748,4_238991842
PZE-104154777,4_238998536
PZE-104154840,4_239076507
PZE-104154891,4_239090951
PZE-104155061,4_239131988
PZE-104155106,4_239143873
PZE-104155284,4_239206243
PZE-104155312,4_239219918
PZE-104156090,4_239509928
PZE-104156127,4_239623639
PZE-104156221,4_239641369
PZE-104156286,4_239681594
PZE-104156296,4_239682808
PZE-104156376,4_239690748
PZE-104156379,4_239691179
PZE-104156384,4_239691677
PZE-104156507,4_239725428
PZE-104156611,4_239803242
PZE-104156615,4_239803120
PZE-104156892,4_239937010
PZE-104156994,4_240044652
PZE-104157101,4_240116608
PZE-104157213,4_240165527
PZE-104157344,4_240238814
PZE-104157368,4_240245730
PZE-104157519,4_240414411
PZE-104157654,4_240456906
PZE-104157695,4_240460713
PZE-104157696,4_240460743
PZE-104157703,4_240463062
PZE-104157729,4_240464336
PZE-104157783,4_240522833
PZE-104157815,4_240525885
PZE-104157818,4_240525963
PZE-104157844,4_240713661
PZE-104157853,4_240738528
PZE-104157863,4_240743265
PZE-104157876,4_240748156
PZE-104157878,4_240751240
PZE-104157913,4_240811859
PZE-104157914,4_240867133
PZE-104157953,4_240839737
PZE-104158003,4_240897825
PZE-104158009,4_241048278
PZE-104158059,4_241140247
PZE-104158102,4_241232972
PZE-104158105,4_241240700
PZE-104158108,4_241322382
PZE-105000011,5_820
PZE-105000023,5_22085
PZE-105000037,5_46616
PZE-105000045,5_50201
PZE-105000063,5_80997
PZE-105000079,5_83914
PZE-105000098,5_109141
PZE-105000099,5_109444
PZE-105000100,5_109474
PZE-105000101,5_109496
PZE-105000102,5_110089
PZE-105000103,5_110143
PZE-105000111,5_110607
PZE-105000112,5_110652
PZE-105000145,5_434525
PZE-105000171,5_536169
PZE-105000247,5_648565
PZE-105000286,5_651882
PZE-105000613,5_900450
PZE-105001477,5_1319392
PZE-105001484,5_1321399
PZE-105001487,5_1321687
PZE-105001497,5_1322163
PZE-105001734,5_1525996
PZE-105002024,5_1568021
PZE-105002035,5_1568365
PZE-105002058,5_1570648
PZE-105002105,5_1581066
PZE-105002166,5_1610205
PZE-105002659,5_1844009
PZE-105003682,5_2259905
PZE-105003736,5_2268991
PZE-105003814,5_2274686
PZE-105003938,5_2283974
PZE-105004513,5_2347843
PZE-105004587,5_2350682
PZE-105004767,5_2379314
PZE-105006002,5_3059488
PZE-105006095,5_3095946
PZE-105006142,5_3090863
PZE-105006205,5_3142558
PZE-105006245,5_3145984
PZE-105007381,5_3547381
PZE-105009127,5_4261272
PZE-105009132,5_4266268
PZE-105009141,5_4269999
PZE-105009142,5_4270028
PZE-105009736,5_4479754
PZE-105009948,5_4573368
PZE-105009954,5_4578595
PZE-105010938,5_4777232
PZE-105011405,5_5010077
PZE-105011679,5_5105202
PZE-105011741,5_5186830
PZE-105011856,5_5200959
PZE-105011863,5_5203180
PZE-105011866,5_5203629
PZE-105011922,5_5211414
PZE-105012008,5_5294535
PZE-105012181,5_5328281
PZE-105012189,5_5329657
PZE-105012348,5_5384211
PZE-105012387,5_5435237
PZE-105012420,5_5436026
PZE-105013394,5_5797091
PZE-105014018,5_6105668
PZE-105014039,5_6135826
PZE-105014054,5_6139468
PZE-105014073,5_6140327
PZE-105014116,5_6141542
PZE-105014159,5_6143314
PZE-105014181,5_6155628
PZE-105014188,5_6156859
PZE-105014190,5_6157091
PZE-105014343,5_6314804
PZE-105014449,5_6330727
PZE-105014611,5_6372146
PZE-105014612,5_6372170
PZE-105014655,5_6374400
PZE-105015168,5_6511373
PZE-105015345,5_6571142
PZE-105015473,5_6617304
PZE-105015810,5_6871914
PZE-105015838,5_6880473
PZE-105016045,5_6981475
PZE-105016060,5_6986417
PZE-105016065,5_6987975
PZE-105016072,5_6993026
PZE-105016109,5_7112894
PZE-105016296,5_7137203
PZE-105016317,5_7139693
PZE-105016373,5_7147536
PZE-105016506,5_7243639
PZE-105016573,5_7255440
PZE-105016693,5_7272345
PZE-105016704,5_7279717
PZE-105017042,5_7526121
PZE-105017142,5_7603077
PZE-105017202,5_7573972
PZE-105017254,5_7578083
PZE-105017291,5_7588346
PZE-105017292,5_7588368
PZE-105017331,5_7595008
PZE-105017492,5_7696792
PZE-105017551,5_7699996
PZE-105017566,5_7703258
PZE-105017654,5_7762829
PZE-105017975,5_7866947
PZE-105018063,5_7976971
PZE-105018230,5_8175228
PZE-105018267,5_8185466
PZE-105018375,5_8267126
PZE-105018381,5_8282293
PZE-105018422,5_8332228
PZE-105018591,5_8349570
PZE-105018732,5_8460177
PZE-105018839,5_8495174
PZE-105018841,5_8496429
PZE-105018859,5_8549741
PZE-105019032,5_8544691
PZE-105019153,5_8509530
PZE-105019316,5_8769345
PZE-105019358,5_8790001
PZE-105019387,5_8822871
PZE-105019465,5_9120532
PZE-105019472,5_9180134
PZE-105019535,5_9331325
PZE-105019536,5_9329859
PZE-105019543,5_9329426
PZE-105019544,5_9329199
PZE-105020761,5_9979019
PZE-105020816,5_10009468
PZE-105021328,5_10173381
PZE-105021345,5_10173651
PZE-105021560,5_10220430
PZE-105021563,5_10223848
PZE-105021600,5_10230581
PZE-105021601,5_10231129
PZE-105021606,5_10231851
PZE-105021734,5_10317293
PZE-105021883,5_10418906
PZE-105021925,5_10438838
PZE-105021941,5_10492311
PZE-105022029,5_10543360
PZE-105022090,5_10674245
PZE-105022115,5_10686877
PZE-105022201,5_10709627
PZE-105022218,5_10784251
PZE-105022277,5_10797363
PZE-105022328,5_10856012
PZE-105022413,5_10900882
PZE-105022450,5_10908812
PZE-105022452,5_10931063
PZE-105022483,5_10954752
PZE-105022491,5_10957249
PZE-105022509,5_10968323
PZE-105022516,5_10972181
PZE-105022623,5_11091905
PZE-105022646,5_11345362
PZE-105022648,5_11345992
PZE-105022649,5_11346813
PZE-105022751,5_11392159
PZE-105022826,5_11492378
PZE-105023037,5_11599818
PZE-105023106,5_11604458
PZE-105023573,5_11847841
PZE-105023608,5_11877562
PZE-105023645,5_11880075
PZE-105023654,5_11881091
PZE-105024018,5_11920834
PZE-105024161,5_11924411
PZE-105024172,5_11941711
PZE-105024195,5_11949754
PZE-105024245,5_11964013
PZE-105024349,5_12037987
PZE-105024460,5_12216233
PZE-105024467,5_12217989
PZE-105024510,5_12227383
PZE-105024516,5_12229613
PZE-105024535,5_12230693
PZE-105024579,5_12270414
PZE-105024740,5_12280151
PZE-105024748,5_12280423
PZE-105024763,5_12288850
PZE-105024764,5_12290998
PZE-105024883,5_12382573
PZE-105024891,5_12383704
PZE-105024938,5_12390089
PZE-105024985,5_12533783
PZE-105025087,5_12551694
PZE-105025123,5_12580999
PZE-105025224,5_12561132
PZE-105025225,5_12561111
PZE-105025237,5_12648052
PZE-105025332,5_13051241
PZE-105025345,5_13052893
PZE-105025482,5_13083647
PZE-105025787,5_13189787
PZE-105026019,5_13303031
PZE-105026024,5_13303161
PZE-105026164,5_13313388
PZE-105026200,5_13390979
PZE-105026209,5_13393192
PZE-105026213,5_13394681
PZE-105026330,5_13407956
PZE-105026971,5_13799005
PZE-105027530,5_14089742
PZE-105027793,5_14199864
PZE-105027872,5_14377232
PZE-105027932,5_14437375
PZE-105027956,5_14468940
PZE-105027983,5_14476823
PZE-105027996,5_14506419
PZE-105028002,5_14506758
PZE-105028038,5_14512340
PZE-105028067,5_14611522
PZE-105028120,5_14599935
PZE-105028327,5_14653673
PZE-105028457,5_14801899
PZE-105028547,5_14856132
PZE-105028662,5_14841088
PZE-105028979,5_15185289
PZE-105029009,5_15188102
PZE-105029198,5_15194175
PZE-105029274,5_15315144
PZE-105029276,5_15315326
PZE-105029277,5_15315448
PZE-105029295,5_15321107
PZE-105029341,5_15324004
PZE-105029342,5_15325433
PZE-105029444,5_15435067
PZE-105029482,5_15444136
PZE-105029533,5_15446140
PZE-105029896,5_15551111
PZE-105030086,5_15715928
PZE-105030100,5_15724784
PZE-105030407,5_15959109
PZE-105030542,5_16099754
PZE-105030596,5_16159832
PZE-105030600,5_16166855
PZE-105031034,5_16615948
PZE-105031041,5_16618360
PZE-105031065,5_16678803
PZE-105031086,5_16693950
PZE-105031175,5_16840058
PZE-105031296,5_16849790
PZE-105031476,5_16931545
PZE-105031503,5_17063973
PZE-105031526,5_17066351
PZE-105031576,5_17117074
PZE-105031658,5_17275134
PZE-105031659,5_17275166
PZE-105031679,5_17227961
PZE-105031680,5_17228020
PZE-105031696,5_17229800
PZE-105031717,5_17316112
PZE-105031801,5_17321279
PZE-105031827,5_17340647
PZE-105031839,5_17341159
PZE-105031842,5_17341266
PZE-105031844,5_17342105
PZE-105031848,5_17342604
PZE-105031898,5_17344122
PZE-105031901,5_17344809
PZE-105032023,5_17376633
PZE-105032165,5_17380699
PZE-105032242,5_17477038
PZE-105032275,5_17495110
PZE-105032382,5_17624952
PZE-105032412,5_17686678
PZE-105032416,5_17729235
PZE-105032424,5_17780323
PZE-105032425,5_17780354
PZE-105032441,5_17861080
PZE-105032446,5_17862468
PZE-105032449,5_17863076
PZE-105032498,5_17899738
PZE-105032512,5_17910918
PZE-105032539,5_17971945
PZE-105032558,5_17979474
PZE-105032593,5_18011892
PZE-105032664,5_18083763
PZE-105032737,5_18133730
PZE-105032793,5_18171328
PZE-105033007,5_18276677
PZE-105033041,5_18278711
PZE-105033085,5_18344917
PZE-105033111,5_18371306
PZE-105033242,5_18541052
PZE-105033267,5_18542618
PZE-105033269,5_18543202
PZE-105033382,5_18583398
PZE-105033399,5_18622903
PZE-105033663,5_18705560
PZE-105033696,5_18754345
PZE-105033869,5_19055653
PZE-105033922,5_19134993
PZE-105033935,5_19188761
PZE-105034054,5_19322030
PZE-105034124,5_19442013
PZE-105034145,5_19450686
PZE-105034158,5_19456944
PZE-105034230,5_19523947
PZE-105034376,5_19528084
PZE-105034591,5_19675006
PZE-105034635,5_19676185
PZE-105034666,5_19677778
PZE-105034671,5_19678031
PZE-105034792,5_19712507
PZE-105034878,5_19779727
PZE-105034900,5_19886444
PZE-105034997,5_19890846
PZE-105035166,5_20133594
PZE-105035194,5_20174862
PZE-105035278,5_20200526
PZE-105035328,5_20310924
PZE-105035340,5_20311431
PZE-105035374,5_20335437
PZE-105035383,5_20356221
PZE-105035526,5_20490714
PZE-105035551,5_20491795
PZE-105035668,5_20602427
PZE-105035757,5_20762863
PZE-105035788,5_20772954
PZE-105035799,5_20774070
PZE-105035804,5_20774283
PZE-105035813,5_20793570
PZE-105035894,5_20834086
PZE-105035917,5_20834983
PZE-105036244,5_21040795
PZE-105036265,5_21046039
PZE-105036479,5_21366349
PZE-105036580,5_21343987
PZE-105036592,5_21440850
PZE-105036622,5_21417920
PZE-105036629,5_21415716
PZE-105036645,5_21572574
PZE-105036664,5_21577791
PZE-105036678,5_21583327
PZE-105036681,5_21583534
PZE-105036682,5_21583559
PZE-105036683,5_21583624
PZE-105036707,5_21694982
PZE-105036809,5_21892911
PZE-105036810,5_21893252
PZE-105036968,5_21988282
PZE-105037550,5_22545407
PZE-105037557,5_22551428
PZE-105037558,5_22552184
PZE-105037563,5_22554071
PZE-105037566,5_22583135
PZE-105037571,5_22598834
PZE-105037640,5_22630187
PZE-105037655,5_22629743
PZE-105037660,5_22629419
PZE-105037748,5_22738041
PZE-105037752,5_22738898
PZE-105037853,5_22761912
PZE-105037871,5_22774346
PZE-105037880,5_22774730
PZE-105037907,5_22776744
PZE-105037986,5_22806207
PZE-105038144,5_23022397
PZE-105038171,5_23034786
PZE-105038252,5_23183232
PZE-105038348,5_23336960
PZE-105038426,5_23466356
PZE-105038454,5_23494463
PZE-105038472,5_23504374
PZE-105038475,5_23504839
PZE-105038476,5_23504939
PZE-105038569,5_23574544
PZE-105038624,5_23692331
PZE-105038707,5_23657082
PZE-105038816,5_23763386
PZE-105038960,5_23872479
PZE-105038994,5_23874889
PZE-105039026,5_23879142
PZE-105039027,5_23879164
PZE-105039065,5_23888692
PZE-105039096,5_23892316
PZE-105039163,5_24059956
PZE-105039241,5_24163258
PZE-105039330,5_24336521
PZE-105039352,5_24247779
PZE-105039459,5_24420155
PZE-105039490,5_24441900
PZE-105039522,5_24541796
PZE-105039536,5_24543218
PZE-105039601,5_24616905
PZE-105039629,5_24619505
PZE-105039646,5_24713266
PZE-105039647,5_24713289
PZE-105039651,5_24713503
PZE-105039652,5_24713856
PZE-105039664,5_24714217
PZE-105039674,5_24714711
PZE-105039675,5_24714752
PZE-105039693,5_24720271
PZE-105039696,5_24721519
PZE-105039726,5_24861841
PZE-105039798,5_24966639
PZE-105039807,5_24974805
PZE-105039838,5_25028171
PZE-105039867,5_25029662
PZE-105039871,5_25039474
PZE-105039934,5_25256380
PZE-105039964,5_25273022
PZE-105039981,5_25345434
PZE-105040002,5_25400551
PZE-105040008,5_25425289
PZE-105040033,5_25436298
PZE-105040041,5_25437916
PZE-105040068,5_25458548
PZE-105040070,5_25461170
PZE-105040086,5_25464123
PZE-105040091,5_25466581
PZE-105040138,5_25489228
PZE-105040178,5_25511014
PZE-105040185,5_25511592
PZE-105040190,5_25512317
PZE-105040202,5_25544151
PZE-105040207,5_25548408
PZE-105040208,5_25548594
PZE-105040209,5_25548627
PZE-105040234,5_25619061
PZE-105040250,5_25658604
PZE-105040292,5_25661717
PZE-105040379,5_25715939
PZE-105040420,5_25804542
PZE-105040445,5_25876345
PZE-105040458,5_25878288
PZE-105040459,5_25878628
PZE-105040462,5_25881288
PZE-105040477,5_25918771
PZE-105040479,5_25960677
PZE-105040486,5_25983555
PZE-105040632,5_26314375
PZE-105040653,5_26445607
PZE-105040767,5_26564832
PZE-105040815,5_26649982
PZE-105040816,5_26655188
PZE-105040885,5_26870402
PZE-105040897,5_26894474
PZE-105040941,5_26989101
PZE-105040953,5_27057427
PZE-105040969,5_27060466
PZE-105041009,5_27056521
PZE-105041010,5_27056412
PZE-105041019,5_27050743
PZE-105041033,5_27094149
PZE-105041052,5_27099659
PZE-105041056,5_27100681
PZE-105041065,5_27104456
PZE-105041173,5_27201682
PZE-105041174,5_27201939
PZE-105041177,5_27203342
PZE-105041186,5_27204418
PZE-105041198,5_27247368
PZE-105041232,5_27285899
PZE-105041270,5_27483958
PZE-105041298,5_27534597
PZE-105041304,5_27517911
PZE-105041307,5_27517831
PZE-105041332,5_27508711
PZE-105041346,5_27643340
PZE-105041432,5_27766559
PZE-105041476,5_27769096
PZE-105041551,5_27857856
PZE-105041558,5_27858735
PZE-105041629,5_27946236
PZE-105041761,5_28110063
PZE-105041818,5_28111422
PZE-105041910,5_28116352
PZE-105041994,5_28123586
PZE-105042109,5_28195940
PZE-105042248,5_28426155
PZE-105042255,5_28381169
PZE-105042270,5_28436621
PZE-105042279,5_28444968
PZE-105042282,5_28450193
PZE-105042331,5_28627846
PZE-105042338,5_28628691
PZE-105042359,5_29220729
PZE-105042370,5_29222531
PZE-105042371,5_29223602
PZE-105042378,5_29271952
PZE-105042379,5_29272488
PZE-105042386,5_29279384
PZE-105042394,5_29279927
PZE-105042410,5_29324719
PZE-105042435,5_29445392
PZE-105042441,5_29446708
PZE-105042442,5_29446956
PZE-105042474,5_29621053
PZE-105042481,5_29621947
PZE-105042526,5_29689209
PZE-105042539,5_29708107
PZE-105042550,5_29708794
PZE-105042657,5_29905532
PZE-105042687,5_29916973
PZE-105042690,5_29917308
PZE-105042735,5_29991303
PZE-105042741,5_29992759
PZE-105042742,5_29993689
PZE-105042765,5_30083232
PZE-105042796,5_30093154
PZE-105042812,5_30159084
PZE-105042820,5_30163411
PZE-105042855,5_30100434
PZE-105042856,5_30100048
PZE-105042963,5_30289208
PZE-105043067,5_30308001
PZE-105043155,5_30530670
PZE-105043163,5_30533099
PZE-105043202,5_30599581
PZE-105043237,5_30601839
PZE-105043254,5_30624238
PZE-105043361,5_30761710
PZE-105043494,5_30838566
PZE-105043519,5_30995288
PZE-105043520,5_30995260
PZE-105043555,5_30981495
PZE-105043556,5_30981212
PZE-105043576,5_30997717
PZE-105043670,5_31022113
PZE-105043718,5_31134584
PZE-105043824,5_31264067
PZE-105043947,5_31423447
PZE-105043948,5_31423522
PZE-105043990,5_31444326
PZE-105044057,5_31544962
PZE-105044168,5_31657489
PZE-105044182,5_31674348
PZE-105044188,5_31676935
PZE-105044220,5_31696138
PZE-105044252,5_31828376
PZE-105044255,5_31830614
PZE-105044256,5_31830926
PZE-105044284,5_31835325
PZE-105044304,5_31857877
PZE-105044315,5_31860788
PZE-105044425,5_31904322
PZE-105044437,5_31906220
PZE-105044450,5_31911236
PZE-105044456,5_31926329
PZE-105044555,5_32002482
PZE-105044556,5_32002592
PZE-105044767,5_32260329
PZE-105044798,5_32353014
PZE-105044821,5_32359583
PZE-105044842,5_32425349
PZE-105044867,5_32451583
PZE-105044893,5_32461920
PZE-105044894,5_32462081
PZE-105044895,5_32462188
PZE-105044956,5_32614798
PZE-105045171,5_32919099
PZE-105045252,5_32921512
PZE-105045313,5_33049374
PZE-105045323,5_33052274
PZE-105045324,5_33052372
PZE-105045328,5_33054322
