Originalname	Chromosome	B73RefGen_v2position(bp)
PZE-105097852	5	144176066
PZE-105097904	5	144283936
PZE-105097966	5	144313692
PZE-105097983	5	144386608
PZE-105097995	5	144522054
PZE-105097997	5	144522939
PZE-105098012	5	144574000
PZE-105098019	5	144574260
PZE-105098055	5	144585556
PZE-105098137	5	144714036
PZE-105098138	5	144714127
PZE-105098153	5	144808485
PZE-105098157	5	144809269
PZE-105098158	5	144809937
PZE-105098161	5	144810481
PZE-105098179	5	144814104
PZE-105098181	5	144814344
PZE-105098210	5	144857747
PZE-105098226	5	144887473
PZE-105098229	5	144888602
PZE-105098237	5	144893402
PZE-105098286	5	145106678
PZE-105098289	5	145106798
PZE-105098310	5	145108294
PZE-105098349	5	145215521
PZE-105098407	5	145335513
PZE-105098449	5	145338836
PZE-105098518	5	145496429
PZE-105098528	5	145508651
PZE-105098587	5	145510713
PZE-105098595	5	145513382
PZE-105098697	5	145714748
PZE-105098722	5	145727876
PZE-105098779	5	145814857
PZE-105098804	5	145867921
PZE-105098808	5	145870186
PZE-105098816	5	145870461
PZE-105098820	5	145882440
PZE-105098825	5	145958085
PZE-105098936	5	146390061
PZE-105098937	5	146390722
PZE-105098940	5	146392697
PZE-105098962	5	146414049
PZE-105098973	5	146419466
PZE-105098974	5	146427970
PZE-105098975	5	146431640
PZE-105098976	5	146431712
PZE-105098984	5	146434104
PZE-105098986	5	146434179
PZE-105098995	5	146481079
PZE-105098996	5	146481120
PZE-105098998	5	146482453
PZE-105099007	5	146486205
PZE-105099008	5	146486234
PZE-105099028	5	146537049
PZE-105099052	5	146607476
PZE-105099081	5	146729558
PZE-105099104	5	146846379
PZE-105099105	5	146846303
PZE-105099116	5	146837029
PZE-105099251	5	147167635
PZE-105099275	5	147246964
PZE-105099303	5	147316329
PZE-105099366	5	147467899
PZE-105099402	5	147478916
PZE-105099409	5	147479662
PZE-105099416	5	147480032
PZE-105099436	5	147539032
PZE-105099437	5	147539284
PZE-105099438	5	147539331
PZE-105099462	5	147556575
PZE-105099516	5	147687542
PZE-105099532	5	147703506
PZE-105099534	5	147706819
PZE-105099535	5	147707346
PZE-105099559	5	147877988
PZE-105099560	5	147878012
PZE-105099580	5	147982909
PZE-105099601	5	148072636
PZE-105099605	5	148072942
PZE-105099617	5	148028310
PZE-105099640	5	148125611
PZE-105099647	5	148132594
PZE-105099658	5	148149195
PZE-105099684	5	148226517
PZE-105099711	5	148306204
PZE-105099738	5	148304095
PZE-105099743	5	148303883
PZE-105099768	5	148396668
PZE-105099793	5	148528734
PZE-105099828	5	148688866
PZE-105099843	5	148700935
PZE-105099854	5	148699797
PZE-105099855	5	148699749
PZE-105099869	5	148697163
PZE-105099873	5	148695130
PZE-105099874	5	148695087
PZE-105099879	5	148693648
PZE-105099906	5	148780739
PZE-105099935	5	148876060
PZE-105099943	5	148876757
PZE-105099946	5	148878046
PZE-105099952	5	148881579
PZE-105099953	5	148882939
PZE-105100040	5	149462786
PZE-105100075	5	149530653
PZE-105100076	5	149530691
PZE-105100098	5	149666944
PZE-105100103	5	149760886
PZE-105100137	5	149868618
PZE-105100187	5	149998432
PZE-105100230	5	150050267
PZE-105100244	5	150074309
PZE-105100264	5	150088223
PZE-105100269	5	150089295
PZE-105100289	5	150190121
PZE-105100352	5	150198622
PZE-105100361	5	150275315
PZE-105100372	5	150276128
PZE-105100373	5	150276184
PZE-105100376	5	150276309
PZE-105100386	5	150276594
PZE-105100399	5	150277663
PZE-105100407	5	150320952
PZE-105100424	5	150357242
PZE-105100460	5	150483420
PZE-105100461	5	150483505
PZE-105100469	5	150492347
PZE-105100474	5	150508905
PZE-105100505	5	150569698
PZE-105100544	5	150577742
PZE-105100604	5	150752698
PZE-105100606	5	150752950
PZE-105100615	5	150801031
PZE-105100624	5	150802444
PZE-105100645	5	150933405
PZE-105100674	5	150957280
PZE-105100676	5	150957418
PZE-105100705	5	151044279
PZE-105100706	5	151044305
PZE-105100711	5	151044624
PZE-105100722	5	151166589
PZE-105100724	5	151176613
PZE-105100796	5	151368671
PZE-105100848	5	151394123
PZE-105100852	5	151408615
PZE-105100853	5	151408961
PZE-105100862	5	151418545
PZE-105100867	5	151456250
PZE-105100878	5	151473557
PZE-105100879	5	151489138
PZE-105100898	5	151490483
PZE-105100899	5	151493348
PZE-105100915	5	151532148
PZE-105100940	5	151588488
PZE-105100969	5	151622025
PZE-105100971	5	151622082
PZE-105100982	5	151630925
PZE-105100990	5	151631355
PZE-105100991	5	151631510
PZE-105101017	5	151707337
PZE-105101098	5	151712665
PZE-105101121	5	151715288
PZE-105101128	5	151715816
PZE-105101164	5	151721718
PZE-105101279	5	151886784
PZE-105101300	5	151969869
PZE-105101309	5	151973611
PZE-105101310	5	151973836
PZE-105101338	5	151989775
PZE-105101457	5	152406679
PZE-105101487	5	152439770
PZE-105101490	5	152439965
PZE-105101495	5	152440309
PZE-105101563	5	152568284
PZE-105101566	5	152582080
PZE-105101583	5	152605290
PZE-105101607	5	152657377
PZE-105101608	5	152657398
PZE-105101687	5	152744906
PZE-105101691	5	152745191
PZE-105101714	5	152746982
PZE-105101729	5	152749874
PZE-105101733	5	152750357
PZE-105101751	5	152825445
PZE-105101779	5	152830330
PZE-105101822	5	152835009
PZE-105101823	5	152840174
PZE-105101854	5	152845899
PZE-105101867	5	152849905
PZE-105101893	5	152878762
PZE-105101899	5	152918100
PZE-105101904	5	152918595
PZE-105101905	5	152919972
PZE-105101915	5	152926442
PZE-105101918	5	152926957
PZE-105101928	5	152933958
PZE-105101930	5	152934116
PZE-105101931	5	152934202
PZE-105101940	5	152997461
PZE-105102022	5	153340280
PZE-105102045	5	153365213
PZE-105102050	5	153378809
PZE-105102073	5	153551391
PZE-105102092	5	153682002
PZE-105102148	5	153849812
PZE-105102176	5	153894265
PZE-105102180	5	153945373
PZE-105102182	5	153945654
PZE-105102220	5	153952207
PZE-105102221	5	153952817
PZE-105102231	5	153955843
PZE-105102238	5	153960306
PZE-105102252	5	153967293
PZE-105102306	5	154118015
PZE-105102324	5	154198267
PZE-105102329	5	154199063
PZE-105102376	5	154300032
PZE-105102391	5	154318759
PZE-105102392	5	154318791
PZE-105102393	5	154318857
PZE-105102410	5	154351003
PZE-105102442	5	154482401
PZE-105102499	5	154808874
PZE-105102500	5	154810996
PZE-105102503	5	154811306
PZE-105102520	5	154823549
PZE-105102535	5	154915866
PZE-105102557	5	154995048
PZE-105102580	5	154992946
PZE-105102620	5	155031265
PZE-105102627	5	155031735
PZE-105102631	5	155032566
PZE-105102632	5	155033339
PZE-105102635	5	155034126
PZE-105102742	5	155096974
PZE-105102825	5	155171104
PZE-105102856	5	155218025
PZE-105102875	5	155244055
PZE-105102959	5	155522510
PZE-105103023	5	155528364
PZE-105103085	5	155531642
PZE-105103103	5	155537523
PZE-105103114	5	155665159
PZE-105103115	5	155665182
PZE-105103128	5	155810701
PZE-105103201	5	155959571
PZE-105103204	5	155962380
PZE-105103245	5	156139474
PZE-105103296	5	156270972
PZE-105103339	5	156277560
PZE-105103365	5	156351736
PZE-105103397	5	156443251
PZE-105103500	5	156842325
PZE-105103501	5	156842382
PZE-105103551	5	156888309
PZE-105103602	5	156969453
PZE-105103655	5	157048123
PZE-105103659	5	157048587
PZE-105103680	5	157100397
PZE-105103728	5	157113803
PZE-105103729	5	157114237
PZE-105103798	5	157193606
PZE-105103826	5	157202026
PZE-105103856	5	157300006
PZE-105103866	5	157419633
PZE-105103875	5	157444503
PZE-105103877	5	157446027
PZE-105103879	5	157446176
PZE-105103885	5	157447728
PZE-105103971	5	157497742
PZE-105103973	5	157514706
PZE-105103978	5	157515514
PZE-105104018	5	157517880
PZE-105104019	5	157517927
PZE-105104071	5	157650228
PZE-105104162	5	158172190
PZE-105104171	5	158194281
PZE-105104193	5	158381369
PZE-105104199	5	158383009
PZE-105104225	5	158413057
PZE-105104244	5	158418722
PZE-105104269	5	158493942
PZE-105104271	5	158543426
PZE-105104278	5	158543752
PZE-105104287	5	158544054
PZE-105104297	5	158547543
PZE-105104307	5	158606371
PZE-105104335	5	158683444
PZE-105104379	5	158685747
PZE-105104436	5	158692292
PZE-105104464	5	158767875
PZE-105104469	5	158768866
PZE-105104470	5	158768939
PZE-105104471	5	158768964
PZE-105104504	5	158818597
PZE-105104508	5	158819964
PZE-105104560	5	158823304
PZE-105104645	5	158956183
PZE-105104698	5	159109882
PZE-105104825	5	159233258
PZE-105104831	5	159233574
PZE-105104835	5	159233808
PZE-105104853	5	159290381
PZE-105104854	5	159290656
PZE-105104855	5	159290677
PZE-105104882	5	159332728
PZE-105105028	5	159316625
PZE-105105042	5	159269126
PZE-105105049	5	159354573
PZE-105105066	5	159451222
PZE-105105086	5	159538551
PZE-105105133	5	159683249
PZE-105105207	5	159804130
PZE-105105213	5	159804308
PZE-105105266	5	159929251
PZE-105105267	5	159929284
PZE-105105269	5	159929345
PZE-105105286	5	159946189
PZE-105105287	5	159946905
PZE-105105288	5	159946929
PZE-105105294	5	159960741
PZE-105105323	5	160123769
PZE-105105397	5	160079236
PZE-105105421	5	160088408
PZE-105105422	5	160088883
PZE-105105462	5	160165587
PZE-105105471	5	160165922
PZE-105105560	5	160459650
PZE-105105590	5	160531317
PZE-105105668	5	160655503
PZE-105105701	5	160664811
PZE-105105740	5	160711196
PZE-105105756	5	160720520
PZE-105105773	5	160722166
PZE-105105776	5	160752448
PZE-105105784	5	160752949
PZE-105105785	5	160753897
PZE-105105802	5	160757608
PZE-105105803	5	160757667
PZE-105105894	5	160985434
PZE-105105910	5	161002779
PZE-105105936	5	161171672
PZE-105105940	5	161193543
PZE-105105941	5	161193473
PZE-105105942	5	161192984
PZE-105105944	5	161192912
PZE-105105974	5	161197310
PZE-105106024	5	161281322
PZE-105106040	5	161397247
PZE-105106082	5	161404196
PZE-105106102	5	161467164
PZE-105106147	5	161552732
PZE-105106149	5	161553303
PZE-105106169	5	161557626
PZE-105106192	5	161627565
PZE-105106200	5	161631520
PZE-105106278	5	161875667
PZE-105106315	5	161912993
PZE-105106331	5	162008360
PZE-105106332	5	162008437
PZE-105106360	5	162059339
PZE-105106365	5	162064140
PZE-105106374	5	161946816
PZE-105106377	5	161946988
PZE-105106427	5	162300748
PZE-105106455	5	162515826
PZE-105106474	5	162650453
PZE-105106485	5	162672055
PZE-105106511	5	162684038
PZE-105106548	5	162757153
PZE-105106549	5	162757247
PZE-105106556	5	162759513
PZE-105106565	5	162766043
PZE-105106570	5	162775541
PZE-105106573	5	162775615
PZE-105106575	5	162811919
PZE-105106576	5	162811985
PZE-105106602	5	162836268
PZE-105106603	5	162836446
PZE-105106611	5	163112656
PZE-105106612	5	163113505
PZE-105106620	5	163114626
PZE-105106627	5	163116347
PZE-105106744	5	163214402
PZE-105106751	5	163217498
PZE-105106766	5	163229637
PZE-105106832	5	163289204
PZE-105106833	5	163289349
PZE-105106838	5	163289942
PZE-105106839	5	163289969
PZE-105106845	5	163290598
PZE-105106949	5	163409720
PZE-105107018	5	163416578
PZE-105107131	5	163610440
PZE-105107160	5	163740142
PZE-105107181	5	163742027
PZE-105107214	5	163834981
PZE-105107370	5	163940933
PZE-105107417	5	163981149
PZE-105107473	5	163985401
PZE-105107477	5	163998914
PZE-105107552	5	164224577
PZE-105107562	5	164221293
PZE-105107668	5	164350999
PZE-105107675	5	164352248
PZE-105107727	5	164365296
PZE-105107790	5	164480192
PZE-105107800	5	164481392
PZE-105107801	5	164481571
PZE-105107815	5	164531662
PZE-105107819	5	164532799
PZE-105107897	5	164654107
PZE-105107918	5	164655772
PZE-105108017	5	164710608
PZE-105108023	5	164712732
PZE-105108057	5	164733011
PZE-105108126	5	164862273
PZE-105108191	5	164860648
PZE-105108222	5	164859092
PZE-105108226	5	164859015
PZE-105108254	5	164857675
PZE-105108264	5	164842617
PZE-105108343	5	164883273
PZE-105108350	5	164885978
PZE-105108393	5	164940477
PZE-105108397	5	164983750
PZE-105108414	5	164985178
PZE-105108546	5	165152415
PZE-105108663	5	165456040
PZE-105108673	5	165516174
PZE-105108737	5	165652829
PZE-105108744	5	165653908
PZE-105108786	5	165738756
PZE-105108791	5	165741897
PZE-105108793	5	165742446
PZE-105108863	5	165860488
PZE-105108881	5	165976659
PZE-105108884	5	165976711
PZE-105108927	5	165979358
PZE-105108952	5	166048238
PZE-105108977	5	166061615
PZE-105109006	5	166286388
PZE-105109007	5	166286593
PZE-105109015	5	166302411
PZE-105109016	5	166302435
PZE-105109045	5	166319996
PZE-105109089	5	166327740
PZE-105109096	5	166332322
PZE-105109109	5	166393355
PZE-105109129	5	166401122
PZE-105109131	5	166411223
PZE-105109134	5	166411388
PZE-105109176	5	166468675
PZE-105109285	5	166477514
PZE-105109345	5	166516052
PZE-105109385	5	166572455
PZE-105109407	5	166576990
PZE-105109408	5	166577035
PZE-105109484	5	166697208
PZE-105109577	5	166856517
PZE-105109636	5	166863427
PZE-105109742	5	166934531
PZE-105109854	5	167009282
PZE-105109881	5	167066677
PZE-105109901	5	167112978
PZE-105109913	5	167120764
PZE-105109960	5	167246267
PZE-105110003	5	167248737
PZE-105110011	5	167249248
PZE-105110067	5	167251963
PZE-105110168	5	167276024
PZE-105110200	5	167348134
PZE-105110236	5	167360268
PZE-105110282	5	167394395
PZE-105110333	5	167435683
PZE-105110414	5	167583659
PZE-105110447	5	167584724
PZE-105110581	5	167598121
PZE-105110597	5	167598552
PZE-105110613	5	167603456
PZE-105110627	5	167663594
PZE-105110637	5	167664001
PZE-105110675	5	167751400
PZE-105110696	5	167777633
PZE-105110718	5	167781702
PZE-105110740	5	167783375
PZE-105110743	5	167783474
PZE-105110817	5	167936961
PZE-105110864	5	167938830
PZE-105110883	5	167943185
PZE-105110911	5	167969385
PZE-105111088	5	168038564
PZE-105111119	5	168089466
PZE-105111257	5	168224869
PZE-105111323	5	168260189
PZE-105111406	5	168425573
PZE-105111420	5	168426848
PZE-105111423	5	168427963
PZE-105111462	5	168450026
PZE-105111463	5	168450312
PZE-105111492	5	168451960
PZE-105111506	5	168459813
PZE-105111602	5	168534280
PZE-105111737	5	168672533
PZE-105111808	5	168845171
PZE-105111860	5	168852708
PZE-105111861	5	168852762
PZE-105111898	5	168853911
PZE-105111928	5	168858119
PZE-105111962	5	168861641
PZE-105112048	5	168870334
PZE-105112096	5	168885315
PZE-105112279	5	168908533
PZE-105112344	5	169238391
PZE-105112368	5	169233207
PZE-105112491	5	169455277
PZE-105112537	5	169457345
PZE-105112583	5	169458502
PZE-105112596	5	169458902
PZE-105112628	5	169578102
PZE-105113048	5	169875266
PZE-105113106	5	169927760
PZE-105113193	5	170067880
PZE-105113278	5	170160571
PZE-105113328	5	170166880
PZE-105113337	5	170167191
PZE-105113378	5	170246305
PZE-105113389	5	170254912
PZE-105113411	5	170255888
PZE-105113416	5	170256580
PZE-105113441	5	170401968
PZE-105113455	5	170408511
PZE-105113477	5	170412188
PZE-105113489	5	170413365
PZE-105113493	5	170413976
PZE-105113540	5	170421449
PZE-105113735	5	170503875
PZE-105113799	5	170633688
PZE-105113828	5	170724212
PZE-105113943	5	170821451
PZE-105113946	5	170821969
PZE-105113955	5	170823427
PZE-105113956	5	170823497
PZE-105113962	5	170823799
PZE-105113974	5	170824561
PZE-105113978	5	170824643
PZE-105114031	5	170827610
PZE-105114032	5	170828221
PZE-105114075	5	170972568
PZE-105114126	5	170978013
PZE-105114143	5	171049951
PZE-105114330	5	171176022
PZE-105114470	5	171202290
PZE-105114522	5	171269222
PZE-105114562	5	171271558
PZE-105114670	5	171299019
PZE-105114678	5	171359160
PZE-105114709	5	171362823
PZE-105114712	5	171363180
PZE-105114752	5	171456415
PZE-105114794	5	171523606
PZE-105114836	5	171691242
PZE-105114842	5	171691830
PZE-105114875	5	171705135
PZE-105114886	5	171706350
PZE-105114903	5	171711004
PZE-105114946	5	171878343
PZE-105114980	5	171890172
PZE-105114994	5	171890765
PZE-105115072	5	171917158
PZE-105115198	5	172017239
PZE-105115210	5	172022340
PZE-105115211	5	172022523
PZE-105115221	5	172023565
PZE-105115330	5	172088144
PZE-105115350	5	172091150
PZE-105115367	5	172099234
PZE-105115518	5	172293976
PZE-105115582	5	172471766
PZE-105115758	5	172742833
PZE-105115759	5	172742954
PZE-105115780	5	172808405
PZE-105115795	5	172810787
PZE-105115809	5	172812247
PZE-105115816	5	172812646
PZE-105115894	5	172815965
PZE-105115904	5	172917181
PZE-105115913	5	172920332
PZE-105116043	5	172933870
PZE-105116048	5	172934114
PZE-105116148	5	172957868
PZE-105116205	5	173168577
PZE-105116229	5	173165284
PZE-105116239	5	173161686
PZE-105116293	5	173387492
PZE-105116305	5	173387786
PZE-105116344	5	173394928
PZE-105116427	5	173569724
PZE-105116453	5	173618871
PZE-105116466	5	173629337
PZE-105116472	5	173685430
PZE-105116484	5	173689727
PZE-105116495	5	173695695
PZE-105116502	5	173696521
PZE-105116507	5	173760035
PZE-105116521	5	173801214
PZE-105117232	5	174140953
PZE-105117483	5	174296556
PZE-105117617	5	174350696
PZE-105117653	5	174358424
PZE-105117679	5	174388827
PZE-105117689	5	174407191
PZE-105117757	5	174625464
PZE-105117873	5	174662719
PZE-105117894	5	174672033
PZE-105118026	5	174937754
PZE-105118656	5	175594688
PZE-105118860	5	175611596
PZE-105119214	5	175727442
PZE-105119257	5	175730890
PZE-105119267	5	175732073
PZE-105119280	5	175738033
PZE-105119283	5	175747545
PZE-105119336	5	175867075
PZE-105119339	5	175879332
PZE-105119422	5	176037598
PZE-105119430	5	176035533
PZE-105119438	5	176033763
PZE-105119439	5	176033308
PZE-105119440	5	176032873
PZE-105119441	5	176032844
PZE-105119447	5	176032309
PZE-105119526	5	176108814
PZE-105119602	5	176123818
PZE-105119625	5	176219828
PZE-105119647	5	176222163
PZE-105119685	5	176247871
PZE-105119751	5	176328926
PZE-105119872	5	176548478
PZE-105119892	5	176485985
PZE-105119960	5	176490601
PZE-105119998	5	176590820
PZE-105119999	5	176590842
PZE-105120258	5	176897533
PZE-105120292	5	176909050
PZE-105120411	5	176984485
PZE-105120419	5	176984900
PZE-105120631	5	176993953
PZE-105120724	5	177233169
PZE-105120746	5	177246836
PZE-105120851	5	177661350
PZE-105120853	5	177662028
PZE-105121156	5	177854505
PZE-105121226	5	177977532
PZE-105121245	5	177994130
PZE-105121310	5	178072999
PZE-105121317	5	178075201
PZE-105121335	5	178083805
PZE-105121339	5	178086246
PZE-105121340	5	178086270
PZE-105121365	5	178087527
PZE-105121377	5	178090043
PZE-105121434	5	178195892
PZE-105121486	5	178241675
PZE-105121552	5	178265361
PZE-105121619	5	178351958
PZE-105121694	5	178476075
PZE-105121802	5	178582938
PZE-105121848	5	178622303
PZE-105121864	5	178738522
PZE-105121898	5	179761209
PZE-105121969	5	179288758
PZE-105121976	5	179288608
PZE-105122010	5	179272057
PZE-105122012	5	179270149
PZE-105122022	5	179269731
PZE-105122023	5	179268540
PZE-105122026	5	179266676
PZE-105122032	5	179266089
PZE-105122055	5	179197383
PZE-105122072	5	179153205
PZE-105122078	5	179152958
PZE-105122079	5	179152915
PZE-105122136	5	179150092
PZE-105122171	5	179146497
PZE-105122195	5	179109582
PZE-105122290	5	179014380
PZE-105122292	5	179013179
PZE-105122293	5	179012573
PZE-105122300	5	179011004
PZE-105122421	5	178948448
PZE-105122422	5	178945658
PZE-105122424	5	178945090
PZE-105122432	5	178944136
PZE-105122447	5	178943654
PZE-105122589	5	178895347
PZE-105122721	5	178813188
PZE-105122814	5	179836747
PZE-105122827	5	179837556
PZE-105123002	5	179931472
PZE-105123021	5	179932513
PZE-105123093	5	180039079
PZE-105123131	5	180150198
PZE-105123153	5	180180393
PZE-105123203	5	180184651
PZE-105123635	5	180410228
PZE-105123692	5	180438569
PZE-105123694	5	180439088
PZE-105123697	5	180440398
PZE-105123753	5	180581811
PZE-105124202	5	181014434
PZE-105124575	5	181584279
PZE-105124576	5	181584459
PZE-105124586	5	181586455
PZE-105124618	5	181588001
PZE-105124637	5	181589862
PZE-105125004	5	182124296
PZE-105125184	5	182247518
PZE-105125202	5	182250120
PZE-105125241	5	182437019
PZE-105125294	5	182449952
PZE-105125362	5	182518953
PZE-105125363	5	182518999
PZE-105125373	5	182540145
PZE-105125393	5	182576479
PZE-105125394	5	182576546
PZE-105125444	5	182584625
PZE-105125448	5	182584941
PZE-105125595	5	182760412
PZE-105125892	5	183157616
PZE-105125935	5	183325772
PZE-105126105	5	183485063
PZE-105126109	5	183485612
PZE-105126444	5	183609462
PZE-105126493	5	183614647
PZE-105126583	5	183737260
PZE-105126627	5	183858658
PZE-105126664	5	184064373
PZE-105126747	5	184161821
PZE-105126954	5	184157102
PZE-105126961	5	184157416
PZE-105127013	5	184204981
PZE-105127053	5	184223982
PZE-105127132	5	184234139
PZE-105127171	5	184229581
PZE-105127189	5	184289705
PZE-105127202	5	184287909
PZE-105127228	5	184336676
PZE-105127237	5	184340222
PZE-105127327	5	184347551
PZE-105127386	5	184353254
PZE-105127414	5	184394679
PZE-105127434	5	184431515
PZE-105127475	5	184433528
PZE-105127476	5	184433615
PZE-105127504	5	184448878
PZE-105127547	5	184471468
PZE-105127566	5	184472123
PZE-105127617	5	184493114
PZE-105127666	5	184693822
PZE-105127667	5	184693922
PZE-105127674	5	184701046
PZE-105127675	5	184701097
PZE-105127698	5	184780748
PZE-105127701	5	184789500
PZE-105127727	5	184818827
PZE-105127743	5	184992394
PZE-105127755	5	185036842
PZE-105127765	5	185100947
PZE-105127830	5	185289136
PZE-105127896	5	185408499
PZE-105127954	5	185414197
PZE-105127960	5	185448519
PZE-105127982	5	185451317
PZE-105128016	5	185498755
PZE-105128021	5	185498925
PZE-105128030	5	185499197
PZE-105128031	5	185499241
PZE-105128092	5	185501018
PZE-105128174	5	185536719
PZE-105128212	5	185569569
PZE-105128217	5	185570018
PZE-105128272	5	185577768
PZE-105128311	5	185616880
PZE-105128384	5	185626663
PZE-105128415	5	185630095
PZE-105128434	5	185645899
PZE-105128581	5	185657478
PZE-105128588	5	185659837
PZE-105128589	5	185666322
PZE-105128697	5	185771762
PZE-105128708	5	185781516
PZE-105128715	5	185783617
PZE-105128787	5	186082402
PZE-105128811	5	186100767
PZE-105128952	5	186256668
PZE-105128978	5	186283132
PZE-105129007	5	186400680
PZE-105129024	5	186407979
PZE-105129033	5	186413600
PZE-105129083	5	186419367
PZE-105129087	5	186419526
PZE-105129197	5	186504672
PZE-105129202	5	186505139
PZE-105129231	5	186506816
PZE-105129247	5	186507337
PZE-105129248	5	186507410
PZE-105129274	5	186508480
PZE-105129279	5	186509183
PZE-105129319	5	186523372
PZE-105129359	5	186619792
PZE-105129375	5	186676883
PZE-105129384	5	186677273
PZE-105129422	5	186680003
PZE-105129479	5	186726280
PZE-105129528	5	186729450
PZE-105129571	5	186735620
PZE-105129581	5	186736100
PZE-105129597	5	186795332
PZE-105129694	5	186832399
PZE-105129697	5	186832519
PZE-105129709	5	186833082
PZE-105129717	5	186833242
PZE-105129728	5	186834205
PZE-105129748	5	186834665
PZE-105129799	5	186840719
PZE-105129831	5	186875596
PZE-105129832	5	186875622
PZE-105129843	5	186875959
PZE-105129857	5	186876984
PZE-105129860	5	186877061
PZE-105129883	5	195126229
PZE-105129902	5	195127011
PZE-105129926	5	195128006
PZE-105129927	5	195128043
PZE-105130075	5	195188911
PZE-105130181	5	186942908
PZE-105130322	5	186965004
PZE-105130338	5	186966852
PZE-105130385	5	186970512
PZE-105130516	5	187015106
PZE-105130539	5	187022148
PZE-105130621	5	187084323
PZE-105130639	5	187083166
PZE-105130649	5	187082820
PZE-105130658	5	187081977
PZE-105130670	5	187200869
PZE-105130675	5	187201115
PZE-105130739	5	187468369
PZE-105130746	5	187470909
PZE-105130754	5	187471551
PZE-105130758	5	187486411
PZE-105130777	5	187497887
PZE-105130786	5	187569950
PZE-105130788	5	187570391
PZE-105130792	5	187571328
PZE-105130799	5	187572309
PZE-105130800	5	187572334
PZE-105130823	5	187658800
PZE-105130825	5	187659740
PZE-105130831	5	187661235
PZE-105130833	5	187662469
PZE-105130870	5	187805920
PZE-105130871	5	187807935
PZE-105130893	5	187810548
PZE-105130917	5	187848427
PZE-105130924	5	187849151
PZE-105131005	5	188100969
PZE-105131015	5	188103141
PZE-105131031	5	188105179
PZE-105131134	5	188389770
PZE-105131137	5	188389851
PZE-105131221	5	188458270
PZE-105131333	5	188477751
PZE-105131410	5	188485126
PZE-105131445	5	188489797
PZE-105131631	5	188666818
PZE-105132211	5	188829673
PZE-105132393	5	188844410
PZE-105132439	5	188852718
PZE-105132493	5	188858417
PZE-105132581	5	188917817
PZE-105132637	5	188967385
PZE-105132664	5	189039722
PZE-105132676	5	189041919
PZE-105132778	5	189199760
PZE-105132815	5	189212159
PZE-105132845	5	189297601
PZE-105132863	5	189298844
PZE-105132930	5	189318929
PZE-105132932	5	189319022
PZE-105132934	5	189319106
PZE-105133024	5	189400564
PZE-105133279	5	189622520
PZE-105133385	5	189820513
PZE-105133416	5	189825631
PZE-105133450	5	189866304
PZE-105133486	5	189885036
PZE-105133673	5	189973810
PZE-105133822	5	190053775
PZE-105133858	5	190198831
PZE-105133893	5	190230852
PZE-105134147	5	190244324
PZE-105134157	5	190295698
PZE-105134207	5	190475743
PZE-105134292	5	190484292
PZE-105134364	5	190558274
PZE-105134385	5	190563737
PZE-105134401	5	190566566
PZE-105134474	5	190606550
PZE-105134476	5	190606643
PZE-105134487	5	190607001
PZE-105134501	5	190612421
PZE-105134565	5	195308079
PZE-105134570	5	195307875
PZE-105134605	5	195306203
PZE-105134612	5	195305780
PZE-105134617	5	195305530
PZE-105134618	5	195305428
PZE-105134644	5	195303760
PZE-105134671	5	195403569
PZE-105134689	5	195404385
PZE-105134712	5	195418409
PZE-105134752	5	195419630
PZE-105134762	5	195420051
PZE-105134763	5	195420093
PZE-105134764	5	195421546
PZE-105134814	5	190732112
PZE-105134847	5	190733381
PZE-105134931	5	190748468
PZE-105134949	5	190754176
PZE-105134991	5	190915237
PZE-105134993	5	190915345
PZE-105135154	5	190958848
PZE-105135219	5	191069785
PZE-105135342	5	191087720
PZE-105135428	5	191129292
PZE-105135639	5	191387228
PZE-105135869	5	191375478
PZE-105136017	5	191370337
PZE-105136089	5	191480346
PZE-105136090	5	191485086
PZE-105136169	5	191588534
PZE-105136175	5	191589913
PZE-105136196	5	191624776
PZE-105136340	5	191631818
PZE-105136341	5	191631952
PZE-105136373	5	191681696
PZE-105136417	5	191770094
PZE-105136555	5	191852487
PZE-105136782	5	191904406
PZE-105136942	5	191991935
PZE-105136959	5	192061760
PZE-105137112	5	192161103
PZE-105137413	5	192252785
PZE-105137497	5	192258895
PZE-105137613	5	192314755
PZE-105137712	5	192408872
PZE-105137742	5	192429919
PZE-105137762	5	192530786
PZE-105137831	5	192617138
PZE-105137857	5	192686846
PZE-105137897	5	192846087
PZE-105137906	5	192851051
PZE-105137907	5	192861744
PZE-105137923	5	192863212
PZE-105137926	5	192864891
PZE-105137940	5	192877479
PZE-105137942	5	192881166
PZE-105138023	5	193158068
PZE-105138095	5	193298336
PZE-105138106	5	193299188
PZE-105138135	5	193302977
PZE-105138143	5	193303484
PZE-105138150	5	193303971
PZE-105138155	5	193304285
PZE-105138181	5	193310245
PZE-105138182	5	193310292
PZE-105138185	5	193314075
PZE-105138201	5	193320243
PZE-105138202	5	193320264
PZE-105138291	5	193448537
PZE-105138326	5	193441097
PZE-105138385	5	193500877
PZE-105138396	5	193522593
PZE-105138426	5	193558217
PZE-105138451	5	193557397
PZE-105138502	5	193554706
PZE-105138577	5	193545280
PZE-105138838	5	193655790
PZE-105138844	5	193657500
PZE-105138874	5	193728059
PZE-105138941	5	193819299
PZE-105138999	5	193849318
PZE-105139364	5	194045435
PZE-105139491	5	194098215
PZE-105139846	5	194343387
